Mixture	Myeloid_cell	T_cell	pDC	Fibroblast	Endothelial_cell	B_cell	Cancer_cell	Mast_cell	P-value	Correlation	RMSE
BCRF1_3&EN_13996_563_NL_Str	0.192441199461298	0.320614469603026	0.119300386504816	0.200019618588557	0.139620864251619	0.0105646185248024	0.0161691377443364	0.00126970532154533	0	0.103866731608486	1.04117254243701
BCRF1_3&EN_13998_563_IBC_Str	0.281907163686569	0.162098846807091	0.152484235400306	0.369011954372525	0.0249304483850993	0.00956735134840997	0	0	0	0.119215703762313	1.12403734631071
BCRF1_3&EN_14002_553_DCIS_Str	0.0497382143977895	0.0229497857936374	0.00704552856345039	0.762182936226311	0.132497557519644	0.00448683279655567	0.0210991447026127	0	0	0.96065037049885	0.389385203437151
BCRF1_3&EN_14004_553_IBC_Str	0.0611791607536778	0.0157646333080136	0	0.877192780251708	0.0315134184601974	0.00484836844683843	0.0064100065404677	0.00309163223909698	0	0.962329856112982	0.51573773289202
BCRF1_3&EN_14008_553_EN_Str	0.0678339636108778	0	0.00711993865839066	0.649897051705472	0.197718593904867	0.00684803656152637	0.0681217353957172	0.00246068016314933	0	0.809679401643224	0.642535106026935
BCRF1_3&EN_14013_560_CCC_Str	0.0559844400976686	0.00501594690820863	0.0058847316379889	0.735053295556477	0.120198573128385	0.00390479083911726	0.0739582218321545	0	0	0.953972610385938	0.384407842585014
BCRF1_3&EN_14015_560_AM_Str	0.128641375852653	0.0343789182303879	0.00434974623275702	0.696910145699032	0.115859613680969	0.00481355553345238	0.015046644770748	0	0	0.889003752843833	0.518280671314813
BCRF1_3&EN_14017_560_NL_Str_1	0.16533160190628	0.0393741916031343	0.000766545777252816	0.605569495875139	0.158500535323167	0.00393200062048932	0.0258627944957472	0.00066283439879014	0	0.687252049058802	0.789929401509647
BCRF1_3&EN_14019_560_NL_Str_2	0.148741570229369	0.0432658067627675	0.0399442014418055	0.584242999702727	0.148772605354804	0.00716939064614989	0.0251690344876496	0.00269439137472749	0	0.362420554615139	1.10719580878854
BCRF1_3&EN_14021_560_IBC_Str_1	0.246535459119835	0.175884757375341	0.0972444701704032	0.382103390549066	0.0802117669165777	0.0111646903324216	0.00608913074702172	0.00076633478933308	0	0.0792453583271692	1.15333525549866
BCRF1_3&EN_14023_560_SA_Str	0.138402567151052	0.010123387326225	0.0140266724864682	0.590183880894197	0.199477282698207	0.00463431923770522	0.0373905173740833	0.00576137283206186	0	0.633729869136363	0.847145725610746
BCRF1_3&EN_14026_560_IBC_Str_2	0.110967893388542	0.0142009023893919	0.0097443176904727	0.670850473281174	0.0674607401023768	0.110226942521405	0.0161876101127472	0.000361120513890506	0	0.308974986864895	1.23509666255001
